cell_id,total_buildings,buildings_within_400m,accessibility_pct,avg_distance_m,ndvi_mean,ndvi_min,ndvi_max,ndvi_std
40,50,0,0.0,1344.5,0.27097666015625,0.014699705876410007,0.46531057357788086,0.11911320948634224
41,36,0,0.0,1269.2,0.2618588134765625,0.0615384615957737,0.4653465449810028,0.0930986291656552
42,27,0,0.0,1193.1,0.2130744140625,0.030350808054208755,0.4857754707336426,0.0931940355357091
43,17,0,0.0,909.1,0.1616739501953125,0.032851509749889374,0.4110155999660492,0.0713294471191697
44,21,8,38.1,470.5,0.197760791015625,0.06951484084129333,0.4797820448875427,0.09171448603404272
45,153,153,100.0,146.4,0.211219580078125,0.019273867830634117,0.4426823854446411,0.07710089766697252
46,43,43,100.0,135.3,0.10711318658322704,0.0,0.40253564715385437,0.1115693131585163
47,24,19,79.2,225.3,0.34505660076530614,0.0,0.5206066370010376,0.09687770995538945
48,78,62,79.5,285.4,0.2463631591796875,0.023180155083537102,0.5192182660102844,0.12041613139956288
49,118,118,100.0,70.6,0.194205517578125,-0.02021089568734169,0.5227000117301941,0.10850581661226912
50,174,174,100.0,79.2,0.19078822021484376,0.012181616388261318,0.4385026693344116,0.09599018153715312
51,125,125,100.0,157.1,0.207558984375,-0.0026511135511100292,0.5112030506134033,0.12292806367902431
52,90,59,65.6,351.8,0.2089665283203125,-0.10387279093265533,0.5159282088279724,0.12044920760593708
53,47,33,70.2,313.2,0.2885166015625,0.02857142873108387,0.5766128897666931,0.11068380236124345
54,49,49,100.0,230.0,0.2347642333984375,0.008193801157176495,0.5249954462051392,0.12227757043521818
55,3,3,100.0,26.3,0.377369775390625,0.061649784445762634,0.5693052411079407,0.13095950205885995
56,39,39,100.0,201.2,0.27330859375,0.02580353058874607,0.5255798101425171,0.12009821427686039
57,63,53,84.1,148.0,0.35714775390625,0.046544428914785385,0.5225510001182556,0.08298158412952798
58,22,10,45.5,449.4,0.3298352783203125,0.04932735487818718,0.4941014349460602,0.09040482461775949
59,6,0,0.0,862.0,0.3869829345703125,0.13450969755649567,0.5468644499778748,0.05492359911248394
60,4,0,0.0,1211.4,0.3924143798828125,0.07667076587677002,0.475839763879776,0.0477212406546093
62,73,0,0.0,1484.5,0.347081494140625,-0.0008976660901680589,0.5119714736938477,0.1416386653921688
63,82,0,0.0,1318.1,0.2230908203125,-0.007797994650900364,0.4300107955932617,0.11457364960996588
64,46,0,0.0,972.2,0.1931195556640625,-0.032465215772390366,0.4614354074001312,0.09518107052670025
65,52,3,5.8,563.2,0.223478173828125,0.03252885490655899,0.4372996389865875,0.07776902109916434
66,71,4,5.6,604.8,0.21734462890625,0.06452906131744385,0.3947211802005768,0.07711442766724784
67,85,14,16.5,534.7,0.17680228271484374,0.03342730551958084,0.3888303339481354,0.06677797887317691
68,562,562,100.0,166.0,0.06900906372070313,-0.024077046662569046,0.3301222622394562,0.06324465728187503
69,74,74,100.0,115.8,0.033959462691326534,-0.020195143297314644,0.34527862071990967,0.047325814753957154
70,53,53,100.0,239.2,0.33997862523915817,0.0,0.5179349780082703,0.1170775499045676
71,64,64,100.0,96.9,0.273262890625,0.03706132993102074,0.5065600275993347,0.09969405240703424
72,106,106,100.0,56.5,0.2445263916015625,0.027261951938271523,0.48475712537765503,0.10789042474947212
73,138,138,100.0,98.0,0.20338646240234376,0.0241390410810709,0.44462278485298157,0.09577218192917103
74,140,140,100.0,93.6,0.215550732421875,0.027122048661112785,0.4587191343307495,0.09110885286230774
75,112,112,100.0,132.9,0.234756396484375,0.029629629105329514,0.4526156187057495,0.08962128704067816
76,129,129,100.0,59.9,0.211493603515625,0.017703132703900337,0.5735173225402832,0.10909634003155727
77,94,94,100.0,140.3,0.30284482421875,0.03867403417825699,0.584929347038269,0.11150241894312951
78,68,68,100.0,100.9,0.3324451171875,0.0450536347925663,0.5520377159118652,0.11951941238616
79,34,34,100.0,56.6,0.2462591552734375,-0.02574881725013256,0.5405405163764954,0.14134143992624296
80,52,52,100.0,69.8,0.25780615234375,0.025815879926085472,0.4660910367965698,0.10321040193122752
