cell_id,total_buildings,buildings_within_400m,accessibility_pct,avg_distance_m,ndvi_mean,ndvi_min,ndvi_max,ndvi_std
12,22,0,0.0,732.3,0.16447440011160713,0.0,0.3821949362754822,0.1162983698304787
15,6,0,0.0,1150.6,0.21447215800382652,0.0,0.4762146472930908,0.14666943481505249
17,37,0,0.0,861.3,0.17829696966677297,0.0,0.4520590603351593,0.12735515336337874
18,54,0,0.0,1022.2,0.14930282904177297,0.0,0.39341863989830017,0.11529039140701924
19,45,0,0.0,1270.4,0.14704878826530612,0.0,0.4343603551387787,0.10777959603682925
20,2,0,0.0,867.9,0.10124204051737883,0.0,0.41743969917297363,0.0772921418703156
42,27,0,0.0,1193.1,0.2130744140625,0.030350808054208755,0.4857754707336426,0.0931940355357091
43,17,0,0.0,909.1,0.1616739501953125,0.032851509749889374,0.4110155999660492,0.0713294471191697
64,46,0,0.0,972.2,0.1931195556640625,-0.032465215772390366,0.4614354074001312,0.09518107052670025
345,24,0,0.0,638.2,0.044341492944834186,0.0,0.2900592088699341,0.05693435750122468
368,34,0,0.0,589.5,0.026345837651466836,-0.008964954875409603,0.22670374810695648,0.03041587453655323
